"code_agrologic";"designation";"ca"
35808;"SAUMON OSEILLE 290G MDCORA    6";58311
35810;"SUP VOLAIL CEPE 300G MDCORA";99107
35811;"TAG CARBO 350G MDCORA    6x  .3";89030
35812;"TAG SAUMON 350G MDCORA    6x  .";69805
35814;"COUSCOUS 430G MDCORA    6x  .43";115591
35816;"HACHIS 1KG VBF MDCORA     4x 1.";98192
35817;"RIZ CANTO MDCORA 1KG    4x 1.00";75658
35818;"SPAG BOLO MDCORA 1KG    4x 1.00";35276
35819;"TAG CARBO MDCORA 1KG    4x 1.00";49245
35820;"GRATIN MACARONI 350G MDCORA";9223
35821;"PARMENTIER POISSON 300G MDCORA";7858
35822;"GRAT PDT LARDON 300G MDCORA";14125
35850;"PAELLA 800G LSAGIS    4x  .800";83148
35851;"COUSCOUS 800G LSAGIS    4x  .80";96504
35852;"HACHIS PARMENTIER 800G LSAGIS";82187
45012;"TAJINE LEGUME 350G MDTHI    6x";74961
45014;"TAJINE POULET 350G MDTHI    6x";93383
45015;"PORC VINDALOO 350G MDTHI    6x";44813
45017;"POULET TANDOORI 350G MDTHI    6";40558
45019;"POULET KORMA 350G MDTHI    6x";40684
45359;"PALERON BOEUF ECH SUR ACCOR";17141
45500;"LANGUE BOEUF BOF    6x  .400 02";42887
45501;"CALAMARS FARCIS BOF    6x  .400";35830
46001;"N PORC 60G x8 MDTHI   10x  .520";85611
46002;"N PORC 60 x 4 MDTHI   12x  .260";1691
46011;"N CREV 60G x8 MDTHI   10x  .520";47982
46012;"N PORC 60G 8+2 THI   10x  .620";72351
46013;"ASS ASIA MDTHI   10x  .360 046";94817
46014;"ASS CREOLE MDTHI   10x  .360 04";33136
46015;"ASS GREC MDTHI   10x  .360 046";30545
46016;"ASS MEX MDTHI   10x  .360 046 S";34859
46017;"N PORC 20G x 10 MDTHI   12x  .2";86431
46019;"N POUL 60G x 4 MDTHI   12x  .26";64577
46020;"NEM CRABE/SURIMI 60G x4 MDTHI";85223
46024;"SAM VOLAILLE 30G x6 MDTHI   12x";65950
46025;"RAV CREV 25G MDTHI   12x  .190";65914
46026;"SAM FRUITS EXO 25G MDTHI   12x";11477
46027;"ASS MAROCAIN MDTHI    8x  .360";148539
46028;"PASTILLA MIEL AMANDE MDTHI   12";40283
46029;"ASS INDIEN MDTHI    8x  .340 04";89440
46031;"ASS CREOLE MDTHI (x8)    8x  .3";42496
46032;"ASS GREC MDTHI (x8)    8x  .360";40617
46033;"ASS MEX MDTHI (x8)    8x  .360";39694
46034;"N PORC 60G x8 MDTHI    8x  .520";33574
46035;"N CREV 60G x8 MDTHI    8x  .520";81062
46036;"N PORC 60G 8+2 MDTHI    8x  .64";93926
