"code_agrologic";"designation";"ca"
10610;"POMMES FR 1KG TR    3x 1.000 01";627
10612;"NAGE ECREVISSE 2KG TR    2x 2.0";-946
10633;"LANGUE BF SCE MADERE 2GK TR";11862
10642;"FRIC CEPES 2KG TR    2x 2.000 0";-109
10659;"CAILLE FARCIE FG 2.5KG TR    2x";79
10704;"CANARD 5 EPICES 1.5KG TTDA    2";30711
10706;"NOUILLES SHANGAI 2KG TTDA    2x";7448
10726;"MENU RELAIS BL    1x  .745 010";14
10772;"CHAPON SCE FG TR 2KG    2x 2.00";-832
10777;"PDT FONDANTE 2KG TR    2x 2.000";-602
10795;"BOEUF OIGNONS 1.5KG TTDA    2x";28529
10853;"PLT SCE AIGRE DOUCE 1.5KG TTDA";6864
10918;"EM ST JACQ XERES 115G TR   12x";-24
11032;"GALETTE PDT 20G TR   80x  .020";7494
11033;"PAKORAS LEG 25G TR   80x  .025";7056
11040;"KIT PLV NAA    1x 1.000 011 TRA";
11043;"CHIMICHANGAS 20G TR  100x  .020";8390
11044;"QUESADILLAS 25G TR  100x  .025";11633
11045;"BURRITOS 25G TR  100x  .025 010";9879
11046;"N POULET 30G TTDA   80x  .030 0";23383
11047;"SAM NOIX COCO 25G TR   60x  .02";5472
11050;"BEIGNET CREV 30G TCAR   40x  .0";66106
11058;"ACRAS 20G TTDA   80x  .020 011";-18
11060;"FALAFEL TTDA  100x  .025 011 TR";20297
11061;"KEFTA 20G TR  100x  .020 011 TR";18731
11069;"CHIPS CREV 60G x16   16x  .060";166650
11070;"DELICE AMANDE 25G TR   60x  .02";25940
11071;"SAMOSSA FRUIT EXO 25G TR   60x";37770
11072;"N PORC 65G TTDA   48x  .065 021";118517
11073;"N POULET 65G TTDA   48x  .065 0";97455
11075;"N CRABE 65G TTDA   48x  .065 02";-31
11077;"N PORC 30G TTDA   80x  .030 021";50827
11078;"ACRA MORUE 15G TTDA   80x  .015";50427
11079;"SAMOSSA 25G TTDA   80x  .025 02";124485
11080;"RAV CREV 25G TTDA   80x  .025 0";2098
11081;"BEIGNET CREV 20G TTDA   60x  .0";55040
11082;"PASTILLA PLT 25G   80x  .025 01";22767
11086;"PLAT MEF FROMAGE TR    4x  .240";-4
11087;"PLAT MISES EN FETE x4 TR    4x";-389
11088;"ACRAS MORUE 20G TCAR RC   80x";42706
11089;"N CREV/CRABE 65G TTDA   48x  .0";66200
11090;"N CREV CRABE 30G TTDA   80x  .0";69725
11091;"TACO BANANE CHOCO 25G TR   60x";5258
11092;"ALOO BONDA COCO 15G TR  100x  .";1795
11450;"N CRABE 30G TAUC   60x  .030 01";37935
11451;"N 100G TAUC   40x  .100 011 TRA";7326
11452;"N PORC 75G TAUC   40x  .075 011";101234
11453;"N PORC 30G TAUC   60x  .030 011";16829
11454;"N CRABE 75G TAUC   40x  .075 01";80031
11455;"N POUL 75G TAUC   40x  .075 011";32073
11456;"N CREV 75G TAUC   40x  .075 011";83909
11457;"ACRAS 20G TAUC   80x  .020 011";70280
11458;"B CREV 20G TAUC   60x  .020 011";98741
11459;"SAM BOEUF 65G TAUC   30x  .065";64353
11460;"RAVIO CREV 25G TAUC   80x  .025";12329
11461;"SAM VOL 55G TAUC   30x  .055 01";28045
11462;"SAM LEG 40G TAUC   60x  .040 01";13104
11463;"RAVIO BOEUF TAUC   60x  .025 01";20254
11466;"DELICE FARCI TAUC   12x  .100 0";34615
11700;"N POUL 75G TCAR   48x  .075 011";61421
11701;"N PORC 75G TCAR   48x  .075 011";73326
11702;"N CREV 75G TCAR   48x  .075 011";95888
11704;"SAM VOL 70G TCAR   40x  .070 01";35298
11705;"SAM BOEUF 70G TCAR   40x  .070";57685
11706;"GRATIN CRABE 100G TTDA   18x  .";44106
11708;"ACRAS 15G SURG  100x  .015 011";4564
11709;"SAM 15G SURG  100x  .015 011 TR";7409
11710;"N PORC 20G SURG  100x  .020 011";4690
11711;"N POUL 30G TCAR   80x  .030 011";22980
11712;"N CREV 30G TCAR   80x  .030 011";45286
11713;"N PORC 30G TCAR   80x  .030 011";36266
11714;"PLATEAU ASIA TCAR    4x  .500 0";561924
11716;"TYROP 25G SURG x80   80x  .025";53003
11717;"RAVIO 25G TCAR   80x  .025 011";12416
11718;"KREATO 25G SURG x80   80x  .025";10823
11719;"CREVETTES PANEES 15G SURG   80x";1611
11720;"N CREVETTE 20G SURG  100x  .020";6212
11721;"RAV CREVETTE 15G SURG  100x  .0";4239
11722;"PASTILLA MIEL AMANDE 25G SURG";5221
11723;"PASTILLA POULET 25G SURG   80x";13410
11724;"PLATEAU DESSERTS EXO    8x  .16";14430
11725;"ASS MINI BOUCHEES TSURG    1x 2";59751
11726;"N PLT 25G TSURG   80x  .025 011";8678
11727;"N CREV DORADE 30G TSURG   80x";148406
11728;"ASS TR756 1680G    1x 1.680 011";4957
11729;"ASS TR757 1200G    1x 1.200 011";5232
11730;"B CREV 20G TSURG   80x  .020 01";4423
11800;"ACRA 25G TITM   40x  .025 011 T";60659
11801;"B CREV 20G TITM   32x  .020 011";80195
11802;"SAM PORC 50G TITM   22x  .050 0";73982
21032;"SAUCE NUOC MAM POT 106ML   12x";35091
21086;"N 20G x 16 MDAUC    8x  .360 02";637969
21118;"MINI BOUCHEES UFAUC    8x  .150";37836
21123;"ACRAS MORUE 9X20G TCAR RC    8x";98935
21124;"N PORC 30G x16 TCAR RC    8x  .";132821
21200;"N PORC 65G LSTDA    8x  .280 02";203122
21201;"N CREV 65G LSTDA    8x  .280 02";-72
21202;"N POULET 65G LSTDA    8x  .280";391729
21203;"N CRABE 65G LSTDA    8x  .280 0";-19
21204;"P DECOUVERTE 200G LSTDA    8x";210880
21205;"P SAV EXO 360G LSTDA    4x  .36";321945
21206;"P COCKTAIL 460G LSTDA    4x  .4";-122
21207;"ACRA 15G LSTDA    8x  .150 021";132448
21208;"B CREV 20G LSTDA    8x  .140 02";387776
21209;"RAV CHINOIS 25G LSTDA    8x  .1";257050
21211;"SCE NUOC MAM 105G LSTDA   12x";36111
21212;"N PORC 30G LSTDA    4x  .400 02";84407
21213;"N PORC 30G +2 GR LSTDA    4x  .";100120
21214;"N CREV/CRABE 65G LSTDA    8x  .";471590
21215;"ASS DESSERTS LSTDA    4x  .296";96121
21216;"P ASIA ALLEGE LSTDA    4x  .190";67593
21217;"PATE IMP CREV ALLEGE LSTDA    4";51396
21300;"ASS ASIA MDCOR    6x  .360 030";157121
21301;"N CRABE 30G MDCORA    6x  .200";80322
21302;"N PORC 30G MDCORA    6x  .200 0";65680
21303;"N PORC 70G x4 MDCORA    6x  .30";95703
21306;"ACRA 15 x 12 MDCORA    6x  .200";56225
21307;"SAM POUL 30 x 6 MDCORA    6x  .";74643
21308;"CREV P 20 x 6 MDCORA    6x  .14";97932
21309;"ASS EXO MDCORA    6x  .400 030";151963
21350;"ASS ASIA MDCAS    6x  .360 030";713106
21351;"N CRABE 30 x 6 MDCAS    6x  .20";366030
21352;"N PORC 30 x 6 MDCAS    6x  .200";248983
21353;"N PORC 70 x 4 MDCAS    6x  .300";383970
21354;"P REPAS ASIA 325G MDCAS    6x";134003
21380;"ASS ASIA MDMON    6x  .360 030";200861
21381;"N PORC 70G x4 MDMON    6x  .300";120425
21400;"ASS ASIA MDMAT    6x  .360 030";66809
21401;"N PORC 70 x 4 MDMAT    6x  .300";49746
21402;"ACRA 15G x 12 MDMAT    6x  .200";28305
21404;"CREV P 20 x 6 MDMAT    6x  .140";35356
21405;"N CRABE 30G MDMATCH    6x  .200";29872
21450;"N CRABE 30 x 6 UFAUC   10x  .20";27943
21451;"N PORC 75 x 2 UFAUC   10x  .170";20771
21452;"N PORC 30 x 6 UFAUC   10x  .200";28158
21453;"B CREV 20 x 6 UFAUC    8x  .140";79115
21454;"ACRAS 20 x 6 UFAUC   10x  .120";24808
21455;"C FARCI 100G UFAUC    8x  .100";14504
21456;"RAVIO 25 x 6 UFAUC   10x  .170";18458
21457;"SAM BOEUF 65 x 2 UFAUC   10x  .";14993
