CODE_ARTICE;LIBELLE;id_fta;date_derniere_maj_fta
10544;"COLOMBO DE VOLAILLE TR";650;"2006-06-09"
10552;"FAJITAS DE POULET TR";651;"2006-06-09"
10563;"PAUPIETTES SAUMON OSEILLE COUPE";1;"2005-02-25"
10573;"PAELLA BARQUETTE TR";652;"2006-06-09"
10582;"LANGUE CM TR";653;"2006-06-09"
10583;"THON A LA CATALANE TR";654;"2006-06-09"
10584;"ROUILLE DE CALAMARS TR";655;"2006-06-09"
10586;"PUREE DE CELERI TR";656;"2006-06-09"
10589;"PAELLA FRUITS DE MER TR";657;"2006-06-09"
10590;"POULET SHISHUAN TR";658;"2006-06-09"
10591;"BOEUF CANTONAISE TR";659;"2006-06-09"
10600;"TOMATES FARCIES COUPE";660;"2006-06-09"
10601;"CHOUX FARCIS COUPE";661;"2006-06-09"
10603;"COURGETTES FARCIES";662;"2006-06-09"
10614;"AGNEAU MASSALE TR";663;"2006-06-09"
10616;"BRIANI DE POULET ANANAS TR";665;"2006-06-09"
10620;"CHAPON SCE TRUFFEE SYS U 250G";666;"2006-06-09"
10622;"PUREE DE CELERI 150G";341;"2002-10-09"
10623;"PINTADEAU SCE FOIE GRAS SYS U";667;"2006-06-09"
10625;"RIZ BASMATI SYS U 120G";668;"2006-06-09"
10627;"CHAMPIGNONS A LA CREME SYS U";669;"2006-06-09"
10628;"EPINARDS CREME SYS U";670;"2006-06-09"
10629;"CANARD SCE POIVRE SYS U 190G";671;"2006-06-09"
10630;"TURBOT SCE BEURRE BLANC SYS U";672;"2006-06-09"
10636;"RIZOTTO FRUITS MER TR";676;"2006-06-09"
10638;"GARDIANNE DE TAUREAU TR";677;"2006-06-09"
10639;"PARMENTIER VOL/POTIRON TR";678;"2006-06-09"
10640;"SAUTE DE DINDE HALLOWEEN TR";679;"2006-06-09"
10645;"PLAT DU MOIS";680;"2006-06-09"
10661;"TARTIFLETTE TR";682;"2006-06-09"
10662;"PARMENTIER CANARD TR";683;"2006-06-09"
10694;"POELEE DE CEPES SYS U 100G";684;"2006-06-09"
10695;"ARTICHAUTS PERSILLES SYS U 120G";685;"2006-06-09"
10696;"CANARD SCE TRUFFEE SYS U 190G";686;"2006-06-09"
10702;"CANARD SCE MORILLE SYS U 170G";689;"2006-06-09"
